featured,show-hide,url-evergreen,year-display,project-name_FULL,project-name,project-slug,project-addon,grant-id,organizations,full-description,short-statement,keywords,amount,amount-numeric,date-authorized,count,photo,website,superprogram,program,type,funding-round,first-letter,lookup,lookup2,wordpress-id,grouping,notes
TRUE,show,/projects/highlights/community/#skinny-building,2001,The Skinny Building,The Skinny Building,skinny-building,"$900 » Ground Zero, 2001 Grand Ideas project support",0008-SEED,Ground Zero,"The Skinny Building, a project of Ground Zero, was an architectural oddity in the heart of the Fifth and Forbes corridor downtown. At 5 feet wide and 60 feet long, The Skinny Building was one of the shallowest commercial buildings in the world. The once vacant structure served as a unique venue for alternative art and the promotion of other cultural events.",Utilizing one of the shallowest commercial buildings in the world as a unique venue for alternative art and the promotion of other cultural events.,"feet, buildings, corridor, skinny, venues, promotions, structures, ground zero, forbes",$900,900,10/4/2001,1,/photos/projects/skinny-building.jpg,,Community,Grand Ideas,project support,1,s,Community_2001_Grand Ideas,Community_Grand Ideas_show,6167,,Year AND Program Feature
TRUE,show,/projects/highlights/community/#making-a-scene,2001,Making a Scene,Making a Scene,making-a-scene,"$5,000 » Ground Zero, 2001 Seed Award project support",0004-SEED,Ground Zero,"Making a Scene, a project of Ground Zero, was an event that celebrated emerging and established visual, performance, and literary artists in the Pittsburgh region. The event emphasized unity and collaboration between the artists, patrons, and the community at large and highlighted a collective spirit and a shared artistic process.","Emphasizing unity and collaboration between artists, patrons, and the community at large through an event focused on shared artistic process.","patrons, unity, collaborations, spirits, scenes, performances, ground zero","$5,000",5000,10/4/2001,1,/photos/projects/making-a-scene.jpg,,Community,Seed Award,project support,1,m,Community_2001_Seed Award,Community_Seed Award_show,6165,,Year Feature
FALSE,show,/projects/s/#soundhouse,2001,Soundhouse,Soundhouse,soundhouse,"$2,500, 2001 Seed Award project support",0006-SEED,,Soundhouse combined music programming with a world-renowned venue to create an incubator where local musicians of all genres could interact and collaborate.,,"musicians, programming, incubator, venues, soundhouse","$2,500",2500,10/4/2001,1,,,Community,Seed Award,project support,1,s,Community_2001_Seed Award,Community_Seed Award_show,6166,,
FALSE,show,/projects/d/#dating-game,2001,The Dating Game,The Dating Game,dating-game,"$6,000, 2001 Seed Award project support",0014-SEED,,"The Dating Game connected single African American professionals and created a new outlet for socializing within the community. The events facilitated the formation of personal and professional relationships, thereby enriching the cultural climate of the community and helping sustain and retain its professional population.",,"professionals, climate, formation, outlets","$6,000",6000,11/8/2001,1,,,Community,Seed Award,project support,2,d,Community_2001_Seed Award,Community_Seed Award_show,6171,,
TRUE,show,/projects/highlights/community/#onyx-alliance,2001,Onyx Alliance,Onyx Alliance,onyx-alliance,"$7,500, 2001 Seed Award project support",0015-SEED,,"Onyx Alliance addressed issues of diversity within Pittsburgh by providing resources for education, professional development, and social engagement to African Americans and other minorities underrepresented in Pittsburgh’s workforce.","Providing resources for education, professional development, and social engagement to African Americans and other minorities underrepresented in Pittsburgh’s workforce.","minorities, african americans, resources, diversity, issues, alliance, onyx, engagement","$7,500",7500,12/7/2001,1,/photos/projects/onyx-alliance.jpg,,Community,Seed Award,project support,3,o,Community_2001_Seed Award,Community_Seed Award_show,6172,,Year Feature
FALSE,show,/projects/p/#pulse-of-pittsburgh-art-showcase,2002,Pulse of Pittsburgh Art Showcase,Pulse of Pittsburgh Art Showcase,pulse-of-pittsburgh-art-showcase,"$850, 2002 Grand Ideas project support",0215-SEED,,"Pulse of Pittsburgh Art Showcase, a part of the 2002 Shadyside Art Festival, the Pulse of Pittsburgh Art Showcase exposed visitors to local musicians and performance artists.",,"musicians, artists, art, festivals, pulse, visitors, performances, shadyside",$850,850,9/5/2002,1,,,Community,Grand Ideas,project support,10,p,Community_2002_Grand Ideas,Community_Grand Ideas_show,6200,,
FALSE,show,/projects/e/#exposed-concert-series,2002,Exposed! Concert Series,Exposed! Concert Series,exposed-concert-series,"$5,000 » Pittsburgh Progressive Arts Foundation, 2002 Seed Award project support",0026-SEED,Pittsburgh Progressive Arts Foundation,"Exposed! Concert Series, a project of Pittsburgh Progressive Arts Foundation, was a series of events used to advocate for artists from disadvantaged cultures in Pittsburgh.",,"artists, advocates, foundations, cultures, concert series","$5,000",5000,1/18/2002,1,,,Community,Seed Award,project support,4,e,Community_2002_Seed Award,Community_Seed Award_show,6174,,
FALSE,show,/projects/g/#gladys-schmitt-national-novel-contest,2002,Gladys Schmitt National Novel Contest,Gladys Schmitt National Novel Contest,gladys-schmitt-national-novel-contest,"$6,000 » Carnegie Mellon Press Series in Fiction, 2002 Seed Award project support",0098-SEED,Carnegie Mellon Press Series in Fiction,"Gladys Schmitt National Novel Contest, a project of Carnegie Mellon Press Series in Fiction, stood out among other literary competitions by seeking to publish a first-time novelist, rather than selecting writers of short stories or poems. Through a national competition directed at young, emerging authors, one manuscript was selected and published by the Carnegie Mellon Press.",,"fiction, poems, manuscript, press, authors, carnegie, writers, novel, contest","$6,000",6000,1/18/2002,1,,,Community,Seed Award,project support,4,g,Community_2002_Seed Award,Community_Seed Award_show,6175,,
FALSE,show,/projects/l/#live-from-the-laundromat-a-lint-cabaret,2002,Live from the Laundromat: A Lint Cabaret,Live from the Laundromat: A Lint Cabaret,live-from-the-laundromat-a-lint-cabaret,"$4,500 » Studio Capezzuti, 2002 Seed Award project support",0024-SEED,Studio Capezzuti,"Live from the Laundromat: A Lint Cabaret was puppet show by Pittsburgh artist and performer Cheryl Capezzuti featuring puppets hand sculpted from dryer lint. The production included three acts: a four-puppet hip-hop routine, a two-puppet stilt-walking skit, and a performance seminar.",,"performers, cabaret, puppets, skit, artists, cheryl, performances, acts, seminars","$4,500",4500,1/18/2002,1,,,Community,Seed Award,project support,4,l,Community_2002_Seed Award,Community_Seed Award_show,6173,,
TRUE,show,/projects/highlights/community/#3-rivers-on-2-wheels,2002,3 Rivers on 2 Wheels,3 Rivers on 2 Wheels,3-rivers-on-2-wheels,"$8,500 » Lou Fineberg, 2002 Seed Award project support",0050-SEED,Lou Fineberg,"3 Rivers on 2 Wheels was an original city guide that facilitated the exploration of Pittsburgh by bicycle. It detailed ten cycling excursions that stretched throughout various neighborhoods in the city. Unique for its portable format, consideration of youth riders and, award winning photography, the book was a striking testament to the accessibility and diversity of Pittsburgh’s communities.",Guiding readers through 10 cycling excursions that stretch throughout various neighborhoods in the city.,"riders, accessibility, cycling, wheels, neighborhoods, excursions, photography, consideration","$8,500",8500,3/6/2002,1,/photos/projects/3-rivers-on-2-wheels.jpg,,Community,Seed Award,project support,5,num,Community_2002_Seed Award,Community_Seed Award_show,6176,,Year AND Program Feature
